Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 02-Aug-2020 at 13:12:11.
NREL 5MW Tower                                                                                     
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.242302E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.002192	 0.026261	 0.000000	 0.000000	 0.000000
 0.0035	 0.002285	 0.026834	 0.000000	 0.000000	-0.000003
 0.0104	 0.002476	 0.027973	 0.000000	 0.000000	-0.000008
 0.0174	 0.002674	 0.029104	 0.000000	 0.000000	-0.000014
 0.0244	 0.002881	 0.030227	 0.000000	 0.000000	-0.000019
 0.0313	 0.003095	 0.031341	 0.000000	 0.000000	-0.000024
 0.0383	 0.003318	 0.032446	 0.000000	 0.000000	-0.000030
 0.0453	 0.003547	 0.033543	 0.000000	 0.000000	-0.000035
 0.0522	 0.003785	 0.034631	 0.000000	 0.000000	-0.000041
 0.0592	 0.004030	 0.035711	 0.000000	 0.000000	-0.000046
 0.0662	 0.004282	 0.036783	 0.000000	 0.000000	-0.000051
 0.0731	 0.004542	 0.037846	 0.000000	 0.000000	-0.000057
 0.0801	 0.004809	 0.038901	 0.000000	 0.000000	-0.000062
 0.0870	 0.005084	 0.039947	 0.000000	 0.000000	-0.000068
 0.0940	 0.005365	 0.040984	 0.000000	 0.000000	-0.000073
 0.1010	 0.005654	 0.042014	 0.000000	 0.000000	-0.000078
 0.1079	 0.005951	 0.043034	 0.000000	 0.000000	-0.000084
 0.1149	 0.006254	 0.044047	 0.000000	 0.000000	-0.000089
 0.1219	 0.006564	 0.045051	 0.000000	 0.000000	-0.000095
 0.1288	 0.006881	 0.046046	 0.000000	 0.000000	-0.000100
 0.1358	 0.007205	 0.047033	 0.000000	 0.000000	-0.000105
 0.1399	 0.007400	 0.047611	 0.000000	 0.000000	-0.000109
 0.1497	 0.007874	 0.048982	 0.000000	 0.000000	-0.000116
 0.1567	 0.008218	 0.049944	 0.000000	 0.000000	-0.000122
 0.1636	 0.008570	 0.050898	 0.000000	 0.000000	-0.000127
 0.1706	 0.008927	 0.051843	 0.000000	 0.000000	-0.000132
 0.1776	 0.009292	 0.052780	 0.000000	 0.000000	-0.000138
 0.1845	 0.009662	 0.053708	 0.000000	 0.000000	-0.000143
 0.1915	 0.010040	 0.054628	 0.000000	 0.000000	-0.000149
 0.1985	 0.010423	 0.055540	 0.000000	 0.000000	-0.000154
 0.2054	 0.010813	 0.056443	 0.000000	 0.000000	-0.000159
 0.2124	 0.011209	 0.057338	 0.000000	 0.000000	-0.000165
 0.2194	 0.011612	 0.058225	 0.000000	 0.000000	-0.000170
 0.2263	 0.012020	 0.059103	 0.000000	 0.000000	-0.000176
 0.2333	 0.012435	 0.059973	 0.000000	 0.000000	-0.000181
 0.2403	 0.012856	 0.060835	 0.000000	 0.000000	-0.000186
 0.2472	 0.013282	 0.061689	 0.000000	 0.000000	-0.000192
 0.2507	 0.013498	 0.062113	 0.000000	 0.000000	-0.000195
 0.3203	 0.018453	 0.079905	 0.000000	 0.000000	-0.000314
 0.3797	 0.023667	 0.095469	 0.000000	 0.000000	-0.000430
 0.4248	 0.028245	 0.107460	 0.000000	 0.000000	-0.000527
 0.4596	 0.032151	 0.116810	 0.000000	 0.000000	-0.000608
 0.4866	 0.035407	 0.124101	 0.000000	 0.000000	-0.000675
 0.5137	 0.038861	 0.131422	 0.000000	 0.000000	-0.000747
 0.5407	 0.042511	 0.138734	 0.000000	 0.000000	-0.000822
 0.5677	 0.046360	 0.146042	 0.000000	 0.000000	-0.000902
 0.5947	 0.050404	 0.153321	 0.000000	 0.000000	-0.000987
 0.6217	 0.054645	 0.160544	 0.000000	 0.000000	-0.001077
 0.6487	 0.059081	 0.167711	 0.000000	 0.000000	-0.001172
 0.6758	 0.063709	 0.174770	 0.000000	 0.000000	-0.001274
 0.7028	 0.068526	 0.181702	 0.000000	 0.000000	-0.001382
 0.7298	 0.073529	 0.188486	 0.000000	 0.000000	-0.001498
 0.7568	 0.078712	 0.195060	 0.000000	 0.000000	-0.001621
 0.7839	 0.084070	 0.201402	 0.000000	 0.000000	-0.001753
 0.8109	 0.089595	 0.207456	 0.000000	 0.000000	-0.001894
 0.8379	 0.095279	 0.213161	 0.000000	 0.000000	-0.002044
 0.8649	 0.101112	 0.218475	 0.000000	 0.000000	-0.002206
 0.8919	 0.107081	 0.223304	 0.000000	 0.000000	-0.002379
 0.9189	 0.113174	 0.227580	 0.000000	 0.000000	-0.002565
 0.9460	 0.119375	 0.231220	 0.000000	 0.000000	-0.002766
 0.9730	 0.125664	 0.234102	 0.000000	 0.000000	-0.002982
 1.0000	 0.132019	 0.236120	 0.000000	 0.000000	-0.003215


 -------- Mode No.   2  (freq = 0.243832E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.002209	 0.026453	 0.000000
 0.0035	 0.000000	 0.000000	 0.002302	 0.027029	 0.000000
 0.0104	 0.000000	 0.000000	 0.002494	 0.028176	 0.000000
 0.0174	 0.000000	 0.000000	 0.002694	 0.029315	 0.000000
 0.0244	 0.000000	 0.000000	 0.002902	 0.030444	 0.000000
 0.0313	 0.000000	 0.000000	 0.003118	 0.031565	 0.000000
 0.0383	 0.000000	 0.000000	 0.003342	 0.032678	 0.000000
 0.0453	 0.000000	 0.000000	 0.003573	 0.033782	 0.000000
 0.0522	 0.000000	 0.000000	 0.003813	 0.034877	 0.000000
 0.0592	 0.000000	 0.000000	 0.004059	 0.035964	 0.000000
 0.0662	 0.000000	 0.000000	 0.004313	 0.037042	 0.000000
 0.0731	 0.000000	 0.000000	 0.004575	 0.038112	 0.000000
 0.0801	 0.000000	 0.000000	 0.004844	 0.039172	 0.000000
 0.0870	 0.000000	 0.000000	 0.005121	 0.040225	 0.000000
 0.0940	 0.000000	 0.000000	 0.005404	 0.041269	 0.000000
 0.1010	 0.000000	 0.000000	 0.005695	 0.042304	 0.000000
 0.1079	 0.000000	 0.000000	 0.005994	 0.043331	 0.000000
 0.1149	 0.000000	 0.000000	 0.006299	 0.044349	 0.000000
 0.1219	 0.000000	 0.000000	 0.006611	 0.045358	 0.000000
 0.1288	 0.000000	 0.000000	 0.006931	 0.046359	 0.000000
 0.1358	 0.000000	 0.000000	 0.007257	 0.047352	 0.000000
 0.1399	 0.000000	 0.000000	 0.007452	 0.047933	 0.000000
 0.1497	 0.000000	 0.000000	 0.007930	 0.049311	 0.000000
 0.1567	 0.000000	 0.000000	 0.008277	 0.050278	 0.000000
 0.1636	 0.000000	 0.000000	 0.008630	 0.051237	 0.000000
 0.1706	 0.000000	 0.000000	 0.008990	 0.052187	 0.000000
 0.1776	 0.000000	 0.000000	 0.009357	 0.053128	 0.000000
 0.1845	 0.000000	 0.000000	 0.009730	 0.054061	 0.000000
 0.1915	 0.000000	 0.000000	 0.010110	 0.054986	 0.000000
 0.1985	 0.000000	 0.000000	 0.010496	 0.055902	 0.000000
 0.2054	 0.000000	 0.000000	 0.010889	 0.056809	 0.000000
 0.2124	 0.000000	 0.000000	 0.011287	 0.057708	 0.000000
 0.2194	 0.000000	 0.000000	 0.011692	 0.058599	 0.000000
